"SCINAME","AS.y","threat_score.y","pred_threat.y","pred_threat_bin.y","iucn_sc_pred"
"Afrixalus upembae","DD","DD","A","NT",3
"Amnirana fonensis","DD","DD","C","TH",24
"Amnirana parkeriana","DD","DD","A","NT",3
"Anodonthyla pollicaris","DD","DD","B","TH",8
"Arthroleptis carquejai","DD","DD","A","NT",3
"Arthroleptis formosus","DD","DD","C","TH",24
"Arthroleptis hematogaster","DD","DD","C","TH",24
"Arthroleptis loveridgei","DD","DD","A","NT",3
"Arthroleptis phrynoides","DD","DD","A","NT",3
"Arthroleptis spinalis","DD","DD","C","TH",24
"Arthroleptis tuberosus","DD","DD","A","NT",3
"Boophis mandraka","DD","DD","A","NT",3
"Bufotes variabilis","DD","DD","A","NT",3
"Cacosternum leleupi","DD","DD","A","NT",3
"Cacosternum poyntoni","DD","DD","A","NT",3
"Cryptothylax minutus","DD","DD","A","NT",3
"Geotrypetes pseudoangeli","DD","DD","A","NT",3
"Hemisus barotseensis","DD","DD","A","NT",3
"Hemisus perreti","DD","DD","B","TH",8
"Hemisus wittei","DD","DD","A","NT",3
"Hildebrandtia ornatissima","DD","DD","A","NT",3
"Hymenochirus boulengeri","DD","DD","A","NT",3
"Hyperolius atrigularis","DD","DD","A","NT",3
"Hyperolius brachiofasciatus","DD","DD","A","NT",3
"Hyperolius diaphanus","DD","DD","B","TH",8
"Hyperolius friedemanni","DD","DD","A","NT",3
"Hyperolius inornatus","DD","DD","A","NT",3
"Hyperolius kibarae","DD","DD","A","NT",3
"Hyperolius obscurus","DD","DD","A","NT",3
"Hyperolius polli","DD","DD","A","NT",3
"Hyperolius pustulifer","DD","DD","B","TH",8
"Hyperolius robustus","DD","DD","A","NT",3
"Hyperolius sankuruensis","DD","DD","B","TH",8
"Hyperolius seabrai","DD","DD","A","NT",3
"Hyperolius vilhenai","DD","DD","A","NT",3
"Hyperolius xenorhinus","DD","DD","A","NT",3
"Idiocranium russeli","DD","DD","A","NT",3
"Laurentophryne parkeri","DD","DD","C","TH",24
"Leptopelis fenestratus","DD","DD","A","NT",3
"Leptopelis fiziensis","DD","DD","C","TH",24
"Leptopelis lebeaui","DD","DD","A","NT",3
"Leptopelis mackayi","DD","DD","B","TH",8
"Leptopelis parvus","DD","DD","A","NT",3
"Mantidactylus ambohimitombi","DD","DD","A","NT",3
"Mantidactylus noralottae","DD","DD","C","TH",24
"Mertensophryne mocquardi","DD","DD","C","TH",24
"Mertensophryne nairobiensis","DD","DD","C","TH",24
"Mertensophryne schmidti","DD","DD","A","NT",3
"Nectophrynoides laevis","DD","DD","C","TH",24
"Phrynobatrachus albomarginatus","DD","DD","A","NT",3
"Phrynobatrachus anotis","DD","DD","A","NT",3
"Phrynobatrachus breviceps","DD","DD","A","NT",3
"Phrynobatrachus cryptotis","DD","DD","A","NT",3
"Phrynobatrachus elberti","DD","DD","B","TH",8
"Phrynobatrachus giorgii","DD","DD","A","NT",3
"Phrynobatrachus kakamikro","DD","DD","B","TH",8
"Phrynobatrachus nanus","DD","DD","B","TH",8
"Phrynobatrachus ogoensis","DD","DD","B","TH",8
"Phrynobatrachus petropedetoides","DD","DD","C","TH",24
"Phrynobatrachus pygmaeus","DD","DD","B","TH",8
"Phrynobatrachus sternfeldi","DD","DD","A","NT",3
"Phrynobatrachus vogti","DD","DD","B","TH",8
"Poyntonophrynus damaranus","DD","DD","A","NT",3
"Poyntonophrynus grandisonae","DD","DD","A","NT",3
"Ptychadena arnei","DD","DD","A","NT",3
"Ptychadena filwoha","DD","DD","A","NT",3
"Ptychadena harenna","DD","DD","C","TH",24
"Ptychadena ingeri","DD","DD","A","NT",3
"Ptychadena mapacha","DD","DD","A","NT",3
"Ptychadena pujoli","DD","DD","A","NT",3
"Ptychadena submascareniensis","DD","DD","A","NT",3
"Ptychadena wadei","DD","DD","A","NT",3
"Rhombophryne tetradactyla","DD","DD","C","TH",24
"Rhombophryne tridactyla","DD","DD","A","NT",3
"Sclerophrys buchneri","DD","DD","A","NT",3
"Sclerophrys cristiglans","DD","DD","B","TH",8
"Sclerophrys danielae","DD","DD","B","TH",8
"Sclerophrys langanoensis","DD","DD","B","TH",8
