"SCINAME","probability_of_threat.x","pred_threat_bin.x","probability_of_threat.y","pred_threat_bin.y","pred_threat","iucn_sc_pred"
"Aethomys silindensis",0.424,"Threatened",0.33,"Threatened","Threatened",16
"Aethomys stannarius",0.336,"Threatened",0.141,"Non threatened","Non threatened",3
"Ammodillus imbellis",0.122,"Non threatened",0.099,"Non threatened","Non threatened",3
"Anomalurus pelii",0.132,"Non threatened",0.176,"Non threatened","Non threatened",3
"Calcochloris tytonis",0.882,"Threatened",0.867,"Threatened","Threatened",16
"Cercocebus chrysogaster",0.594,"Threatened",NA,NA,"Threatened",16
"Chaerephon gallagheri",NA,NA,0.763,"Threatened","Threatened",16
"Chaerephon russatus",NA,NA,0.079,"Non threatened","Non threatened",3
"Cheirogaleus major",0.846,"Threatened",NA,NA,"Threatened",16
"Chrysochloris visagiei",0.716,"Threatened",0.47,"Threatened","Threatened",16
"Congosorex polli",0.896,"Threatened",0.883,"Threatened","Threatened",16
"Crocidura bottegi",NA,NA,0.179,"Non threatened","Non threatened",3
"Crocidura erica",NA,NA,0.257,"Non threatened","Non threatened",3
"Crocidura fischeri",0.828,"Threatened",0.618,"Threatened","Threatened",16
"Crocidura gracilipes",NA,NA,0.704,"Threatened","Threatened",16
"Crocidura longipes",0.812,"Threatened",0.827,"Threatened","Threatened",16
"Crocidura macowi",NA,NA,0.729,"Threatened","Threatened",16
"Crocidura mutesae",NA,NA,0.35,"Threatened","Threatened",16
"Crocidura pitmani",NA,NA,0.358,"Threatened","Threatened",16
"Crocidura planiceps",NA,NA,0.045,"Non threatened","Non threatened",3
"Crocidura polia",NA,NA,0.833,"Threatened","Threatened",16
"Crocidura raineyi",0.8,"Threatened",0.858,"Threatened","Threatened",16
"Crocidura selina",0.322,"Threatened",0.378,"Threatened","Threatened",16
"Crocidura ultima",0.848,"Threatened",0.69,"Threatened","Threatened",16
"Crocidura zaphiri",0.788,"Threatened",0.397,"Threatened","Threatened",16
"Crocidura zimmeri",0.81,"Threatened",0.788,"Threatened","Threatened",16
"Dasymys foxi",0.536,"Threatened",0.424,"Threatened","Threatened",16
"Dasymys nudipes",0.048,"Non threatened",0.108,"Non threatened","Non threatened",3
"Dendromus vernayi",0.844,"Threatened",0.558,"Threatened","Threatened",16
"Dendroprionomys rousseloti",NA,NA,0.635,"Threatened","Threatened",16
"Dologale dybowskii",0.036,"Non threatened",0.046,"Non threatened","Non threatened",3
"Elephantulus fuscipes",0.18,"Non threatened",0,"Non threatened","Non threatened",3
"Elephantulus fuscus",0.178,"Non threatened",0,"Non threatened","Non threatened",3
"Elephantulus revoilii",0.228,"Non threatened",0,"Non threatened","Non threatened",3
"Eliurus antsingy",0.87,"Threatened",NA,NA,"Threatened",16
"Epomophorus grandis",0.784,"Threatened",0.631,"Threatened","Threatened",16
"Eptesicus platyops",NA,NA,0.567,"Threatened","Threatened",16
"Fukomys foxi",0.712,"Threatened",0.341,"Threatened","Threatened",16
"Funisciurus bayonii",0.094,"Non threatened",0.065,"Non threatened","Non threatened",3
"Funisciurus substriatus",0.058,"Non threatened",0.1,"Non threatened","Non threatened",3
"Genetta poensis",0.12,"Non threatened",NA,NA,"Non threatened",3
"Gerbillus acticola",0.322,"Threatened",0.265,"Threatened","Threatened",16
"Gerbillus bottai",NA,NA,0.234,"Threatened","Threatened",16
"Gerbillus brockmani",0.812,"Threatened",0.67,"Threatened","Threatened",16
"Gerbillus cosensis",NA,NA,0.099,"Non threatened","Non threatened",3
"Gerbillus lowei",NA,NA,0.361,"Threatened","Threatened",16
"Gerbillus muriculus",0.578,"Threatened",0.56,"Threatened","Threatened",16
"Gerbillus nancillus",0.052,"Non threatened",0.016,"Non threatened","Non threatened",3
"Gerbillus percivali",NA,NA,0.535,"Threatened","Threatened",16
"Gerbillus principulus",0.566,"Threatened",0.43,"Threatened","Threatened",16
"Gerbillus somalicus",NA,NA,0.151,"Non threatened","Non threatened",3
"Gerbillus stigmonyx",NA,NA,0.219,"Threatened","Threatened",16
"Glauconycteris curryae",0.056,"Non threatened",NA,NA,"Non threatened",3
"Glauconycteris egeria",0.046,"Non threatened",0.064,"Non threatened","Non threatened",3
"Glauconycteris gleni",0.788,"Threatened",0.576,"Threatened","Threatened",16
"Glauconycteris humeralis",0.098,"Non threatened",NA,NA,"Non threatened",3
"Glauconycteris kenyacola",0.724,"Threatened",0.608,"Threatened","Threatened",16
"Glauconycteris machadoi",0.79,"Threatened",NA,NA,"Threatened",16
"Grammomys aridulus",0.35,"Threatened",0.313,"Threatened","Threatened",16
"Grammomys buntingi",0.092,"Non threatened",0.125,"Non threatened","Non threatened",3
"Grammomys caniceps",0.162,"Non threatened",0.249,"Threatened","Threatened",16
"Graphiurus angolensis",0.1,"Non threatened",NA,NA,"Non threatened",3
"Graphiurus crassicaudatus",0.082,"Non threatened",0.055,"Non threatened","Non threatened",3
"Graphiurus johnstoni",0.63,"Threatened",NA,NA,"Threatened",16
"Graphiurus monardi",0.25,"Non threatened",0.269,"Threatened","Threatened",16
"Graphiurus surdus",0.378,"Threatened",0.149,"Non threatened","Non threatened",3
"Heliosciurus punctatus",0.064,"Non threatened",0.078,"Non threatened","Non threatened",3
"Heliosciurus undulatus",0.032,"Non threatened",0.179,"Non threatened","Non threatened",3
"Hipposideros camerunensis",0.718,"Threatened",0.355,"Threatened","Threatened",16
"Huetia leucorhina",0.088,"Non threatened",0.003,"Non threatened","Non threatened",3
"Kerivoula cuprosa",0.092,"Non threatened",0.066,"Non threatened","Non threatened",3
"Kerivoula eriophora",NA,NA,0.633,"Threatened","Threatened",16
"Laephotis angolensis",0.262,"Non threatened",0.168,"Threatened","Threatened",16
"Leimacomys buettneri",0.85,"Threatened",0.577,"Threatened","Threatened",16
"Lemniscomys hoogstraali",0.756,"Threatened",0.591,"Threatened","Threatened",16
"Lemniscomys roseveari",0.776,"Threatened",0.602,"Threatened","Threatened",16
"Lophuromys cinereus",NA,NA,0.622,"Threatened","Threatened",16
"Madoqua piacentinii",0.508,"Threatened",0.678,"Threatened","Threatened",16
"Mastomys pernanus",0.052,"Non threatened",0.117,"Non threatened","Non threatened",3
"Micropteropus intermedius",0.202,"Non threatened",0.192,"Threatened","Threatened",16
"Miniopterus minor",NA,NA,0.256,"Threatened","Threatened",16
"Mops niangarae",NA,NA,0.06,"Non threatened","Non threatened",3
"Mops trevori",NA,NA,0.073,"Non threatened","Non threatened",3
"Mus goundae",0.68,"Threatened",0.512,"Threatened","Threatened",16
"Mus neavei",0.584,"Threatened",0.306,"Threatened","Threatened",16
"Mus oubanguii",0.104,"Non threatened",0.136,"Non threatened","Non threatened",3
"Myopterus daubentonii",0.108,"Non threatened",0.044,"Non threatened","Non threatened",3
"Myosorex schalleri",NA,NA,0.875,"Threatened","Threatened",16
"Myosorex tenuis",NA,NA,0.673,"Threatened","Threatened",16
"Myotis morrisi",0.786,"Threatened",0.632,"Threatened","Threatened",16
"Neoromicia flavescens",NA,NA,0.37,"Threatened","Threatened",16
"Neoromicia melckorum",NA,NA,0.073,"Non threatened","Non threatened",3
"Nycteris major",0.022,"Non threatened",0.048,"Non threatened","Non threatened",3
"Nycteris parisii",0.286,"Threatened",NA,NA,"Threatened",16
"Nycteris vinsoni",0.864,"Threatened",NA,NA,"Threatened",16
"Oryzorictes tetradactylus",0.43,"Threatened",0.546,"Threatened","Threatened",16
"Paracrocidura graueri",0.928,"Threatened",0.693,"Threatened","Threatened",16
"Paraxerus cooperi",0.734,"Threatened",0.397,"Threatened","Threatened",16
"Paraxerus lucifer",0.68,"Threatened",0.455,"Threatened","Threatened",16
"Pelomys hopkinsi",0.672,"Threatened",0.299,"Threatened","Threatened",16
"Pipistrellus aero",0.774,"Threatened",0.47,"Threatened","Threatened",16
"Pipistrellus arabicus",NA,NA,0.511,"Threatened","Threatened",16
"Pipistrellus ariel",NA,NA,0.107,"Non threatened","Non threatened",3
"Pipistrellus eisentrauti",NA,NA,0.587,"Threatened","Threatened",16
"Pipistrellus inexspectatus",0.132,"Non threatened",0.101,"Non threatened","Non threatened",3
"Pipistrellus musciculus",NA,NA,0.06,"Non threatened","Non threatened",3
"Plecotus balensis",0.802,"Threatened",NA,NA,"Threatened",16
"Plerotes anchietae",0.118,"Non threatened",0.1,"Non threatened","Non threatened",3
"Praomys verschureni",0.076,"Non threatened",0.066,"Non threatened","Non threatened",3
"Prionomys batesi",0.134,"Non threatened",0.084,"Non threatened","Non threatened",3
"Rhinolophus adami",0.888,"Threatened",0.846,"Threatened","Threatened",16
"Rhinolophus maendeleo",0.852,"Threatened",NA,NA,"Threatened",16
"Rhinolophus sakejiensis",0.84,"Threatened",NA,NA,"Threatened",16
"Rhinolophus silvestris",0.194,"Non threatened",0.108,"Non threatened","Non threatened",3
"Scotoecus albofuscus",0.008,"Non threatened",0.012,"Non threatened","Non threatened",3
"Scotophilus borbonicus",NA,NA,0.802,"Threatened","Threatened",16
"Scotophilus nucella",0.51,"Threatened",NA,NA,"Threatened",16
"Steatomys jacksoni",0.806,"Threatened",0.513,"Threatened","Threatened",16
