"class","SCINAME.old","SCINAME","Current.RL.status","Current.Criteria","Trace.forspp","MWnotes","category"
"amphibian","Acanthixalus sonjae","Acanthixalus sonjae","NT","",1,NA,"NT"
"amphibian","Acanthixalus spinosus","Acanthixalus spinosus","LC","",1,NA,"LC"
"amphibian","Adelophryne adiastola","Adelophryne adiastola","LC","",1,NA,"LC"
"amphibian","Adelophryne gutturosa","Adelophryne gutturosa","LC","",1,NA,"LC"
"amphibian","Adelophryne pachydactyla","Adelophryne pachydactyla","DD","",1,NA,"DD"
"amphibian","Adelotus brevis","Adelotus brevis","NT","",1,NA,"NT"
"amphibian","Adelphobates castaneoticus","Adelphobates castaneoticus","LC","",1,NA,"LC"
"amphibian","Adelphobates galactonotus","Adelphobates galactonotus","LC","",1,NA,"LC"
"amphibian","Adelphobates quinquevittatus","Adelphobates quinquevittatus","LC","",1,NA,"LC"
"amphibian","Adenomera andreae","Adenomera andreae","LC","",1,NA,"LC"
"amphibian","Adenomera araucaria","Adenomera araucaria","LC","",1,NA,"LC"
"amphibian","Adenomera heyeri","Adenomera heyeri","LC","",1,NA,"LC"
"amphibian","Adenomera lutzi","Adenomera lutzi","DD","",1,NA,"EN"
"amphibian","Adenomera marmorata","Adenomera marmorata","LC","",1,NA,"LC"
"amphibian","Adenomera nanus","Adenomera nana","LC","",1,"","LC"
"amphibian","Adenomera thomei","Adenomera thomei","LC","",1,NA,"LC"
"amphibian","Adenomus dasi","Adenomus dasi","CR","",1,NA,"CR"
"amphibian","Adenomus kelaartii","Adenomus kelaartii","EN","",1,NA,"EN"
"amphibian","Afrixalus clarkei","Afrixalus clarkei","VU","",1,NA,"EN"
"amphibian","Afrixalus dorsimaculatus","Afrixalus dorsimaculatus","VU","",1,NA,"EN"
"amphibian","Afrixalus enseticola","Afrixalus enseticola","VU","",1,NA,"VU"
"amphibian","Afrixalus equatorialis","Afrixalus equatorialis","LC","",1,NA,"LC"
"amphibian","Afrixalus fulvovittatus","Afrixalus fulvovittatus","LC","",1,NA,"LC"
"amphibian","Afrixalus lacteus","Afrixalus lacteus","EN","",1,NA,"EN"
"amphibian","Afrixalus laevis","Afrixalus laevis","LC","",1,NA,"LC"
"amphibian","Afrixalus leucostictus","Afrixalus leucostictus","LC","",1,NA,"LC"
"amphibian","Afrixalus nigeriensis","Afrixalus nigeriensis","NT","",1,NA,"LC"
"amphibian","Afrixalus osorioi","Afrixalus osorioi","LC","",1,NA,"LC"
"amphibian","Afrixalus paradorsalis","Afrixalus paradorsalis","LC","",1,NA,"LC"
"amphibian","Afrixalus sylvaticus","Afrixalus sylvaticus","EN","",1,NA,"VU"
"amphibian","Afrixalus uluguruensis","Afrixalus uluguruensis","EN","",1,NA,"VU"
"amphibian","Afrixalus vibekensis","Afrixalus vibekensis","NT","",1,NA,"LC"
"amphibian","Agalychnis buckleyi","Agalychnis buckleyi","LC","",1,NA,"LC"
"amphibian","Agalychnis callidryas","Agalychnis callidryas","LC","",1,NA,"LC"
"amphibian","Agalychnis lemur","Agalychnis lemur","CR","",1,NA,"CR"
"amphibian","Agalychnis litodryas","Agalychnis litodryas","VU","",1,NA,"VU"
"amphibian","Agalychnis saltator","Agalychnis saltator","LC","",1,NA,"LC"
"amphibian","Agalychnis spurrelli","Agalychnis spurrelli","LC","",1,NA,"LC"
"amphibian","Aglyptodactylus madagascariensis","Aglyptodactylus madagascariensis","LC","",1,NA,"LC"
"amphibian","Aglyptodactylus securifer","Aglyptodactylus securifer","LC","",1,NA,"LC"
"amphibian","Albericus brunhildae","Choerophryne brunhildae","LC","",1,"","LC"
"amphibian","Albericus darlingtoni","Choerophryne darlingtoni","LC","",1,"","LC"
"amphibian","Albericus exclamitans","Choerophryne exclamitans","DD","",1,"","DD"
"amphibian","Albericus gunnari","Choerophryne gunnari","DD","",1,"","DD"
"amphibian","Albericus swanhildae","Choerophryne swanhildae","LC","",1,"","LC"
"amphibian","Albericus valkuriarum","Choerophryne valkuriarum","LC","",1,"","LC"
"amphibian","Alexteroon hypsiphonus","Alexteroon hypsiphonus","LC","",1,NA,"LC"
"amphibian","Alexteroon jynx","Alexteroon jynx","CR","",1,NA,"CR"
"amphibian","Alexteroon obstetricans","Alexteroon obstetricans","LC","",1,NA,"LC"
"amphibian","Allobates alessandroi","Allobates alessandroi","DD","",1,NA,"EN"
"amphibian","Allobates bromelicola","Allobates bromelicola","DD","",1,NA,"DD"
"amphibian","Allobates brunneus","Allobates brunneus","LC","",1,NA,"LC"
"amphibian","Allobates caribe","Allobates caribe","DD","",1,NA,"DD"
"amphibian","Allobates crombiei","Allobates crombiei","DD","",1,NA,"DD"
"amphibian","Allobates femoralis","Allobates femoralis","LC","",1,NA,"LC"
"amphibian","Allobates fuscellus","Allobates fuscellus","DD","",1,NA,"DD"
"amphibian","Allobates gasconi","Allobates gasconi","DD","",1,NA,"DD"
"amphibian","Allobates granti","Allobates granti","LC","",1,NA,"LC"
"amphibian","Allobates humilis","Allobates humilis","VU","",1,NA,"VU"
"amphibian","Allobates insperatus","Allobates insperatus","LC","",1,NA,"LC"
"amphibian","Allobates kingsburyi","Allobates kingsburyi","EN","",1,NA,"EN"
"amphibian","Allobates marchesianus","Allobates marchesianus","LC","",1,NA,"LC"
"amphibian","Allobates masniger","Allobates masniger","DD","",1,NA,"DD"
"amphibian","Allobates mcdiarmidi","Allobates mcdiarmidi","NT","",1,NA,"NT"
"amphibian","Allobates myersi","Allobates myersi","LC","",1,NA,"LC"
"amphibian","Allobates niputidea","Allobates niputidea","LC","",1,NA,"LC"
"amphibian","Allobates olfersioides","Allobates olfersioides","VU","",1,NA,"VU"
"amphibian","Allobates picachos","Allobates picachos","DD","",1,NA,"DD"
"amphibian","Allobates pittieri","Allobates pittieri","LC","",1,NA,"LC"
"amphibian","Allobates ranoides","Allobates ranoides","EN","",1,NA,"EN"
"amphibian","Allobates sanmartini","Allobates sanmartini","DD","",1,NA,"DD"
"amphibian","Allobates spumaponens","Allobates spumaponens","DD","",1,NA,"DD"
"amphibian","Allobates subfolionidificans","Allobates subfolionidificans","VU","",1,NA,"VU"
"amphibian","Allobates sumtuosus","Allobates sumtuosus","DD","",1,NA,"DD"
"amphibian","Allobates talamancae","Allobates talamancae","LC","",1,NA,"LC"
"amphibian","Allobates trilineatus","Allobates trilineatus","LC","",1,NA,"LC"
"amphibian","Allobates vanzolinius","Allobates vanzolinius","DD","",1,NA,"DD"
"amphibian","Allobates wayuu","Allobates wayuu","VU","",1,NA,"LC"
"amphibian","Allobates zaparo","Allobates zaparo","LC","",1,NA,"LC"
"amphibian","Allophryne ruthveni","Allophryne ruthveni","LC","",1,NA,"LC"
"amphibian","Alsodes australis","Alsodes australis","DD","",1,NA,"DD"
"amphibian","Alsodes barrioi","Alsodes barrioi","VU","",1,NA,"EN"
"amphibian","Alsodes gargola","Alsodes gargola","LC","",1,NA,"LC"
"amphibian","Alsodes valdiviensis","Alsodes valdiviensis","DD","",1,NA,"EN"
"amphibian","Alsodes vanzolinii","Alsodes vanzolinii","CR","",1,NA,"EN"
"amphibian","Alsodes verrucosus","Alsodes verrucosus","DD","",1,NA,"EN"
"amphibian","Altigius alios","Hamptophryne alios","DD","",1,"","DD"
"amphibian","Amazophrynella bokermanni","Amazophrynella bokermanni","LC","",1,NA,"LC"
"amphibian","Amazophrynella minuta","Amazophrynella minuta","LC","",1,NA,"LC"
"amphibian","Ambystoma altamirani","Ambystoma altamirani","EN","",1,NA,"EN"
"amphibian","Ambystoma amblycephalum","Ambystoma amblycephalum","CR","",1,NA,"CR"
"amphibian","Ambystoma annulatum","Ambystoma annulatum","LC","",1,NA,"LC"
"amphibian","Ambystoma barbouri","Ambystoma barbouri","NT","",1,NA,"NT"
"amphibian","Ambystoma jeffersonianum","Ambystoma jeffersonianum","LC","",1,NA,"LC"
"amphibian","Ambystoma leorae","Ambystoma leorae","CR","",1,NA,"CR"
"amphibian","Ambystoma maculatum","Ambystoma maculatum","LC","",1,NA,"LC"
"amphibian","Ambystoma opacum","Ambystoma opacum","LC","",1,NA,"LC"
"amphibian","Ambystoma rosaceum","Ambystoma rosaceum","LC","",1,NA,"LC"
"amphibian","Ambystoma silvense","Ambystoma silvense","DD","",1,NA,"DD"
"amphibian","Ambystoma talpoideum","Ambystoma talpoideum","LC","",1,NA,"LC"
"amphibian","Ameerega andina","Ameerega andina","DD","",1,NA,"CR"
"amphibian","Ameerega bassleri","Ameerega bassleri","NT","",1,NA,"VU"
"amphibian","Ameerega bilinguis","Ameerega bilinguis","LC","",1,NA,"LC"
"amphibian","Ameerega boliviana","Ameerega boliviana","LC","",1,NA,"LC"
"amphibian","Ameerega braccata","Ameerega braccata","LC","",1,NA,"LC"
"amphibian","Ameerega cainarachi","Ameerega cainarachi","VU","",1,NA,"EN"
"amphibian","Ameerega flavopicta","Ameerega flavopicta","LC","",1,NA,"LC"
"amphibian","Ameerega hahneli","Ameerega hahneli","LC","",1,NA,"LC"
"amphibian","Ameerega macero","Ameerega macero","LC","",1,NA,"LC"
"amphibian","Ameerega parvula","Ameerega parvula","LC","",1,NA,"LC"
"amphibian","Ameerega petersi","Ameerega petersi","LC","",1,NA,"LC"
"amphibian","Ameerega picta","Ameerega picta","LC","",1,NA,"LC"
"amphibian","Ameerega planipaleae","Ameerega planipaleae","CR","",1,NA,"CR"
"amphibian","Ameerega pulchripecta","Ameerega pulchripecta","DD","",1,NA,"DD"
"amphibian","Ameerega rubriventris","Ameerega rubriventris","DD","",1,NA,"EN"
"amphibian","Ameerega silverstonei","Ameerega silverstonei","DD","",1,NA,"EN"
"amphibian","Ameerega simulans","Ameerega simulans","LC","",1,NA,"LC"
"amphibian","Ameerega trivittata","Ameerega trivittata","LC","",1,NA,"LC"
"amphibian","Amietia amieti","Amietia amieti","DD","",1,NA,"DD"
"amphibian","Amietia desaegeri","Amietia desaegeri","DD","",1,NA,"LC"
"amphibian","Amietia lubrica","Amietia lubrica","DD","",1,NA,"DD"
"amphibian","Amietia ruwenzorica","Amietia ruwenzorica","DD","",1,NA,"LC"
"amphibian","Amietia tenuoplicata","Amietia tenuoplicata","DD","",1,NA,"LC"
"amphibian","Amietophrynus brauni","Sclerophrys brauni","EN","",1,"","LC"
"amphibian","Amietophrynus fuliginatus","Sclerophrys fuliginata","LC","",1,"","LC"
"amphibian","Amietophrynus funereus","Sclerophrys funerea","LC","",1,"","LC"
"amphibian","Amietophrynus gracilipes","Sclerophrys gracilipes","LC","",1,"","LC"
"amphibian","Amietophrynus kisoloensis","Sclerophrys kisoloensis","LC","",1,"","LC"
"amphibian","Amietophrynus latifrons","Sclerophrys latifrons","LC","",1,"","LC"
"amphibian","Amietophrynus taiensis","Sclerophrys taiensis","CR","",1,"","EN"
"amphibian","Amietophrynus togoensis","Sclerophrys togoensis","NT","",1,"","LC"
"amphibian","Amietophrynus tuberosus","Sclerophrys tuberosa","LC","",1,"","LC"
"amphibian","Amietophrynus urunguensis","Sclerophrys urunguensis","DD","",1,"","VU"
"amphibian","Amolops archotaphus","Amolops archotaphus","LC","",1,NA,"LC"
"amphibian","Amolops caelumnoctis","Amolops caelumnoctis","DD","",1,NA,"DD"
"amphibian","Amolops chunganensis","Amolops chunganensis","LC","",1,NA,"LC"
"amphibian","Amolops compotrix","Amolops compotrix","DD","",1,NA,"LC"
"amphibian","Amolops cremnobatus","Amolops cremnobatus","NT","",1,NA,"LC"
"amphibian","Amolops daiyunensis","Amolops daiyunensis","NT","",1,NA,"NT"
"amphibian","Amolops formosus","Amolops formosus","LC","",1,NA,"LC"
"amphibian","Amolops granulosus","Amolops granulosus","LC","",1,NA,"LC"
"amphibian","Amolops hainanensis","Amolops hainanensis","EN","",1,NA,"EN"
"amphibian","Amolops hongkongensis","Amolops hongkongensis","EN","",1,NA,"EN"
"amphibian","Amolops iriodes","Amolops iriodes","DD","",1,NA,"DD"
"amphibian","Amolops jinjiangensis","Amolops jinjiangensis","VU","",1,NA,"VU"
"amphibian","Amolops kangtingensis","Amolops mantzorum","VU","",1,"","LC"
"amphibian","Amolops lifanensis","Amolops lifanensis","NT","",1,NA,"NT"
"amphibian","Amolops marmoratus","Amolops marmoratus","LC","",1,NA,"LC"
"amphibian","Amolops mengyangensis","Amolops mengyangensis","LC","",1,NA,"LC"
"amphibian","Amolops panhai","Amolops panhai","LC","",1,NA,"LC"
"amphibian","Amolops ricketti","Amolops ricketti","LC","",1,NA,"LC"
"amphibian","Amolops spinapectoralis","Amolops spinapectoralis","DD","",1,NA,"LC"
"amphibian","Amolops tuberodepressus","Amolops tuberodepressus","VU","",1,NA,"VU"
"amphibian","Amolops viridimaculatus","Amolops viridimaculatus","NT","",1,NA,"NT"
"amphibian","Amolops vitreus","Amolops vitreus","DD","",1,NA,"VU"
"amphibian","Amolops wuyiensis","Amolops wuyiensis","LC","",1,NA,"LC"
"amphibian","Anaxyrus kelloggi","Anaxyrus kelloggi","LC","",1,NA,"LC"
"amphibian","Anaxyrus mexicanus","Anaxyrus mexicanus","NT","",1,NA,"NT"
"amphibian","Anaxyrus microscaphus","Anaxyrus microscaphus","LC","",1,NA,"LC"
"amphibian","Anaxyrus nelsoni","Anaxyrus nelsoni","EN","",1,NA,"EN"
"amphibian","Anaxyrus quercicus","Anaxyrus quercicus","LC","",1,NA,"LC"
"amphibian","Andinobates altobueyensis","Andinobates altobueyensis","VU","",1,NA,"DD"
"amphibian","Andinobates bombetes","Andinobates bombetes","EN","",1,NA,"VU"
