,binomial,SCINAME_IUCN2019,redlistCategory2019,yearPublished,category,year_
215,Atelognathus jeinimenensis,Atelognathus salai,LC,NA,NT,2008
218,Hypsiboas albomarginatus,Boana albomarginata,LC,NA,LC,2008
202,Hypsiboas alboniger,Boana albonigra,NT,NA,NT,2008
189,Hypsiboas albopunctatus,Boana albopunctata,LC,NA,LC,2008
223,Hypsiboas alemani,Boana alemani,DD,NA,DD,2008
230,Hypsiboas atlanticus,Boana atlantica,LC,NA,LC,2008
201,Hypsiboas balzani,Boana balzani,LC,NA,LC,2008
221,Hypsiboas beckeri,Boana beckeri,DD,NA,DD,2008
206,Hypsiboas cordobae,Boana cordobae,LC,NA,DD,2008
217,Hypsiboas hutchinsi,Boana hutchinsi,LC,NA,LC,2009
231,Hypsiboas varelae,Boana varelae,DD,NA,DD,2008
210,Bufo andrewsi,Bufo gargarizans,LC,NA,LC,2008
227,Bufo kabischi,Bufo gargarizans,LC,NA,DD,2008
204,Bufo minshanicus,Bufo gargarizans,LC,NA,LC,2008
188,Bufo tibetanus,Bufo gargarizans,LC,NA,LC,2008
228,Bufo wolongensis,Bufo gargarizans,LC,NA,DD,2008
224,Eupsophus contulmoensis,Eupsophus roseus,LC,NA,EN,2008
226,Eupsophus nahuelbutensis,Eupsophus roseus,LC,NA,EN,2008
207,Eupsophus queulensis,Eupsophus roseus,LC,NA,VU,2008
208,Eupsophus septentrionalis,Eupsophus roseus,LC,NA,DD,2008
225,Hyperolius wermuthi,Hyperolius soror,LC,NA,NT,2008
203,Leptolalax aereus,Leptobrachella aerea,LC,NA,LC,2015
235,Leptolalax alpinus,Leptobrachella alpina,EN,NA,EN,2008
191,Leptolalax applebyi,Leptobrachella applebyi,EN,NA,EN,2015
222,Leptolalax bidoupensis,Leptobrachella bidoupensis,EN,NA,EN,2015
211,Leptolalax botsfordi,Leptobrachella botsfordi,CR,NA,CR,2015
198,Leptolalax bourreti,Leptobrachella bourreti,DD,NA,DD,2008
193,Leptolalax croceus,Leptobrachella crocea,DD,NA,DD,2014
220,Leptolalax dringi,Leptobrachella dringi,LC,NA,NT,2008
190,Leptolalax firthi,Leptobrachella firthi,EN,NA,EN,2015
209,Leptolalax fuliginosus,Leptobrachella fuliginosus,DD,NA,DD,2008
195,Leptolalax gracilis,Leptobrachella gracilis,LC,NA,NT,2008
236,Leptolalax hamidi,Leptobrachella hamidi,LC,NA,VU,2008
205,Leptolalax heteropus,Leptobrachella heteropus,LC,NA,LC,2014
197,Leptolalax isos,Leptobrachella isos,VU,NA,VU,2016
185,Leptolalax kajangensis,Leptobrachella kajangensis,LC,NA,LC,2018
186,Leptolalax kecil,Leptobrachella kecil,CR,NA,CR,2018
214,Leptolalax liui,Leptobrachella liui,LC,NA,LC,2008
183,Leptolalax maurus,Leptobrachella maura,LC,NA,LC,2018
233,Leptolalax melanoleucus,Leptobrachella melanoleuca,LC,NA,LC,2014
234,Leptolalax melicus,Leptobrachella melica,EN,NA,EN,2014
194,Leptolalax minimus,Leptobrachella minima,LC,NA,LC,2016
196,Leptolalax nahangensis,Leptobrachella nahangensis,DD,NA,DD,2008
184,Leptolalax oshanensis,Leptobrachella oshanensis,LC,NA,LC,2008
199,Leptolalax pelodytoides,Leptobrachella pelodytoides,LC,NA,LC,2008
192,Leptolalax pluvialis,Leptobrachella pluvialis,EN,NA,EN,2015
187,Leptolalax solus,Leptobrachella sola,EN,NA,EN,2015
212,Leptolalax sungi,Leptobrachella sungi,LC,NA,LC,2015
237,Leptolalax tuberosus,Leptobrachella tuberosa,LC,NA,LC,2015
200,Leptolalax ventripunctatus,Leptobrachella ventripunctata,DD,NA,DD,2008
219,Borneophrys edwardinae,Megophrys edwardinae,LC,NA,VU,2008
213,Psychrophrynella boettgeri,Microkayla boettgeri,CR,NA,EN,2008
229,Hypsiboas liliae,Myersiohyla liliae,EN,NA,LC,2008
239,Myersiohyla kanaima,Nesorohyla kanaima,EN,NA,LC,2008
232,Rana kunyuensis,Rana coreana,LC,NA,DD,2008
