,countryName.corrected,countryID.corrected,suit,pa,richness,vulnA,vulnT,forest,acc,carb,countryID,conc,x,y,region
0,China,7,0.002540574,0,0.35937348,0.388677061,0.372925758,0,0.000385023,0.019859631,NA,0,11166997.76,-2069174.643,ssea
1,China,7,0.023957146,0,0.274954736,0.303653061,0.253334135,0,0.000817883,NA,NA,0,10316997.76,-3299174.643,ssea
2,Bangladesh,3,0.009627501,0,0.215798542,0.268520981,0.27671966,0,NA,NA,NA,0,8306997.763,-3619174.643,ssea
3,Philippines,29,0.204478413,0,0.350823909,0.405957371,0.394217253,1,0.001433645,0.221696496,NA,0,11596997.76,-3829174.643,ssea
4,Myanmar,23,0.00107987,0,0.468424827,0.511253417,0.504250824,0,0.002897035,NA,NA,0,9066997.763,-4109174.643,ssea
5,Myanmar,23,0.002079263,0,0.459632903,0.496752292,0.473573506,0,NA,NA,NA,0,9066997.763,-4119174.643,ssea
6,Philippines,29,0.122728579,0,0.415779054,0.465457767,0.46449247,1,NA,0.130807549,NA,0,12136997.76,-4419174.643,ssea
7,Philippines,29,0.218860209,0,0.036790721,0.065214217,0.110899121,1,0.000419424,NA,NA,0,12286997.76,-4429174.643,ssea
8,Philippines,29,0.088391893,0,0.03373253,0.064055316,0.122793138,1,0.004065525,NA,NA,0,11806997.76,-4629174.643,ssea
9,Solomon Islands,33,0.356032044,0,0.02470432,0.042124093,0.081917934,1,NA,NA,NA,0,15996997.76,-4669174.643,ssea
10,Philippines,29,0.1692864,0,0.197030306,0.30688566,0.424978375,1,0.010738324,0.164927632,NA,0,11806997.76,-4749174.643,ssea
11,Solomon Islands,33,0.168674737,0,0.026791902,0.058453273,0.11676237,1,NA,NA,NA,0,16116997.76,-4799174.643,ssea
12,Malaysia,25,0.113501593,0,0.34100908,0.393977731,0.337415904,0,0.001819541,0.150065228,NA,0,11576997.76,-4939174.643,ssea
13,Malaysia,25,0.080544226,0,0.344067276,0.402142316,0.354838103,0,0.001289601,0.257799387,NA,0,11586997.76,-4939174.643,ssea
14,Indonesia,12,0.079967618,0,0.297387511,0.306634486,0.238252565,1,0.002411956,0.09127862,NA,0,13486997.76,-5009174.643,ssea
15,Indonesia,12,0.217046842,0,0.281428158,0.266538769,0.169029027,1,0.010168709,0.235911787,NA,0,13736997.76,-5009174.643,ssea
16,Indonesia,12,0.352084607,0,0.039363604,0.076514527,0.134017065,1,NA,0.114685617,NA,0,13446997.76,-5139174.643,ssea
17,Indonesia,12,0.399626225,0,0.27695775,0.27493149,0.196290791,1,NA,0.08594761,NA,0,13396997.76,-5169174.643,ssea
18,Indonesia,12,0.20252803,0,0.047906507,0.082863368,0.134017065,1,0.029017635,0.402663887,NA,0,13506997.76,-5179174.643,ssea
19,Indonesia,12,0.418907523,0,0.280986547,0.283096075,0.207849771,1,NA,0.108756952,NA,0,13386997.76,-5189174.643,ssea
20,Indonesia,12,0.051054724,0,0.610861599,0.691194117,0.611983359,1,0.002935797,0.076889619,NA,0,11696997.76,-5199174.643,ssea
21,Malaysia,25,0.221354544,0,0.647894681,0.704231739,0.581282735,1,0.006696419,0.157103941,NA,0,10976997.76,-5339174.643,ssea
22,Papua New Guinea,31,0.403658092,0,0.031498589,0.062078495,0.110899121,1,NA,NA,NA,0,14696997.76,-5379174.643,ssea
23,Indonesia,12,0.124606438,0,0.153050378,0.200498626,0.223024413,1,0.005021769,0.181860343,NA,0,13516997.76,-5449174.643,ssea
24,Indonesia,12,0.152836338,0,0.231179401,0.276798218,0.26803413,1,0.000806538,0.078297913,NA,0,11696997.76,-5499174.643,ssea
25,Indonesia,12,0.276015818,0,0.216078371,0.242880017,0.219576269,1,0.021857662,0.246251613,NA,0,13696997.76,-5529174.643,ssea
26,Indonesia,12,0.172616526,0,0.038585577,0.079392947,0.151774332,0,NA,NA,NA,0,13426997.76,-5689174.643,ssea
27,Indonesia,12,0.169375032,0,0.107141681,0.155427605,0.194010645,1,0.020867268,0.13778533,NA,0,13376997.76,-5739174.643,ssea
28,Indonesia,12,0.125200823,0,0.595371127,0.653743327,0.550931156,1,NA,0.077689156,NA,0,11636997.76,-5749174.643,ssea
