comprom1,comprom2,comprom3,vuln,afr,ssea,z.both,cumsum,risk
1,1,1,Mha.rich,-,-,0,0,NA
2,4,2,Mha.rich,-,-,0,0,NA
3,2,2,Mha.rich,-,0.04,0.04,0.04,NA
4,5,3,Mha.rich,0.01,1.62,1.63,1.67,NA
5,3,3,Mha.rich,-,0.22,0.22,1.89,NA
6,6,4,Mha.rich,1.64,9.77,11.41,13.3,NA
1,1,1,Mha.vulnA,-,-,0,0,NA
2,4,2,Mha.vulnA,-,-,0,0,NA
3,2,2,Mha.vulnA,-,0.03,0.03,0.03,NA
4,5,3,Mha.vulnA,0.01,1.63,1.64,1.67,NA
5,3,3,Mha.vulnA,-,0.17,0.17,1.84,NA
6,6,4,Mha.vulnA,2.5,9.78,12.28,14.12,NA
1,1,1,Mha.vulnT,-,-,0,0,NA
2,4,2,Mha.vulnT,0.13,-,0.13,0.13,NA
3,2,2,Mha.vulnT,-,1.45,1.45,1.58,NA
4,5,3,Mha.vulnT,1.28,0.21,1.49,3.07,NA
5,3,3,Mha.vulnT,0.34,6.06,6.4,9.47,NA
6,6,4,Mha.vulnT,5.58,3.77,9.35,18.82,NA
NA,NA,NA,Mha.rich,97.55,152.91,250.46,250.46,1
NA,NA,NA,Mha.vulnA,20.87,184.28,205.15,205.15,1
NA,NA,NA,Mha.vulnT,0.47,109.5,109.97,109.97,1
