"suit","region","(-0.1,0.2]","(0.2,0.4]","(0.4,0.6]","(0.6,0.8]","(0.8,1]"
6,"afr","0.29","39.81","3.21","0.01","-"
5,"afr","6.91","258.73","10.72","0.32","0.03"
4,"afr","1.53","190.37","7.93","0.06","-"
3,"afr","2.18","90.12","5.28","0.04","0.01"
2,"afr","1.89","9.45","0.55","-","-"
6,"ssea","22.6","39.28","41.88","43.01","0.23"
5,"ssea","7.4","35.94","50.29","39.83","1.08"
4,"ssea","0.3","20.14","43.27","20.18","0.33"
3,"ssea","0.01","3.88","15.39","3.33","0.01"
2,"ssea","0.01","2.95","2.29","0.04","-"
6,"z.both","22.89","79.09","45.09","43.02","0.23"
5,"z.both","14.31","294.67","61.01","40.15","1.11"
4,"z.both","1.83","210.51","51.2","20.24","0.33"
3,"z.both","2.19","94","20.67","3.37","0.02"
2,"z.both","1.9","12.4","2.84","0.04","0"
